0	5.03563e-06	0	0
.100	5.03539e-06	0	0
.200	5.03467e-06	0	0
.300	5.03346e-06	0	0
.400	5.03178e-06	0	0
.500	5.02961e-06	0	0
.600	5.02696e-06	0	0
.700	5.02383e-06	0	0
.800	1.71089e-05	0.00118147	0.000118147
.900	1.77539e-05	0	0.000118147
1.000	1.76746e-05	0	0.000118147
1.100	3.21058e-05	0.00118147	0.000236295
1.200	2.89582e-05	0	0.000236295
1.300	3.15427e-05	0	0.000236295
1.400	3.0989e-05	0	0.000236295
1.500	3.2455e-05	0	0.000236295
1.600	3.13266e-05	0	0.000236295
1.700	3.34595e-05	0	0.000236295
1.800	3.58262e-05	0.00118147	0.000354442
1.900	4.18536e-05	0.00118147	0.00047259
2.000	4.13609e-05	0	0.00047259
2.100	4.23628e-05	0	0.00047259
2.200	5.7441e-05	0.00118147	0.000590737
2.300	6.05428e-05	0	0.000590737
2.400	5.75917e-05	0	0.000590737
2.500	5.74179e-05	0	0.000590737
2.600	5.47844e-05	0	0.000590737
2.700	5.39654e-05	0	0.000590737
2.800	5.40127e-05	0	0.000590737
2.900	5.26316e-05	0	0.000590737
3.000	5.38298e-05	0	0.000590737
3.100	5.20359e-05	0	0.000590737
3.200	5.04933e-05	0	0.000590737
3.300	4.8047e-05	0	0.000590737
3.400	4.22981e-05	0	0.000590737
3.500	4.22598e-05	0	0.000590737
3.600	4.13612e-05	0	0.000590737
3.700	4.05532e-05	0	0.000590737
3.800	4.06952e-05	0	0.000590737
3.900	4.08706e-05	0	0.000590737
4.000	3.98663e-05	0	0.000590737
4.100	3.669e-05	0	0.000590737
4.200	3.67267e-05	0	0.000590737
4.300	3.63098e-05	0	0.000590737
4.400	3.70478e-05	0	0.000590737
4.500	3.70038e-05	0	0.000590737
4.600	3.62529e-05	0	0.000590737
4.700	3.7029e-05	0	0.000590737
4.800	3.67154e-05	0	0.000590737
4.900	3.66952e-05	0	0.000590737
5.000	3.85256e-05	0.00118147	0.000708885
5.100	4.43784e-05	0.00118147	0.000827032
5.200	4.52664e-05	0	0.000827032
5.300	4.36056e-05	0	0.000827032
5.400	4.2872e-05	0	0.000827032
5.500	4.28973e-05	0	0.000827032
5.600	4.61795e-05	0.00118147	0.00094518
5.700	4.49276e-05	0	0.00094518
5.800	4.48252e-05	0	0.00094518
5.900	4.25876e-05	0	0.00094518
6.000	4.22445e-05	0	0.00094518
6.100	4.27845e-05	0	0.00094518
6.200	4.16371e-05	0	0.00094518
6.300	5.1381e-05	0.00118147	0.00106333
6.400	5.06602e-05	0	0.00106333
6.500	5.0692e-05	0	0.00106333
6.600	6.01415e-05	0.00118147	0.00118147
6.700	6.04146e-05	0	0.00118147
6.800	6.05236e-05	0	0.00118147
6.900	6.66227e-05	0.00118147	0.00129962
7.000	6.58389e-05	0	0.00129962
7.100	7.84262e-05	0.00236295	0.00153592
7.200	0.000113761	0.00118147	0.00165406
7.300	0.000119382	0.00118147	0.00177221
7.400	0.000131142	0.00118147	0.00189036
7.500	0.000131631	0	0.00189036
7.600	0.000146546	0.00118147	0.00200851
7.700	0.000146167	0	0.00200851
7.800	0.000148197	0.00118147	0.00212665
7.900	0.00014586	0	0.00212665
8.000	0.000143181	0	0.00212665
8.100	0.00014313	0	0.00212665
8.200	0.000144079	0.00118147	0.0022448
8.300	0.000145505	0.00118147	0.00236295
8.400	0.000162055	0.00118147	0.0024811
8.500	0.000144921	0.00118147	0.00259924
8.600	0.000144875	0.00118147	0.00271739
8.700	0.000139387	0	0.00271739
8.800	0.000121947	0.00118147	0.00283554
8.900	0.000145097	0	0.00283554
9.000	0.000143555	0	0.00283554
9.100	0.000137956	0	0.00283554
9.200	0.000192501	0.00236295	0.00307183
9.300	0.000180938	0.00236295	0.00330813
9.400	0.000184754	0.00236295	0.00354442
9.500	0.000189747	0	0.00354442
9.600	0.0001885	0	0.00354442
9.700	0.000192014	0.00118147	0.00366257
9.800	0.000189004	0.00118147	0.00378072
9.900	0.000220614	0.00354442	0.00413516
10.000	0.000259909	0.00118147	0.00425331
10.100	0.000258883	0	0.00425331
10.200	0.000244614	0	0.00425331
10.300	0.000232045	0	0.00425331
10.400	0.000257173	0.00118147	0.00437146
10.500	0.000254223	0	0.00437146
10.600	0.000240991	0	0.00437146
10.700	0.000258505	0.00354442	0.0047259
10.800	0.000250598	0	0.0047259
10.900	0.000257146	0.00118147	0.00484405
11.000	0.000253371	0	0.00484405
11.100	0.00025838	0.00236295	0.00508034
11.200	0.000251497	0	0.00508034
11.300	0.000259905	0.00118147	0.00519849
11.400	0.000251301	0.00236295	0.00543478
11.500	0.000258644	0.00236295	0.00567108
11.600	0.000251759	0.00118147	0.00578922
11.700	0.000251694	0.00118147	0.00590737
11.800	0.000249702	0.00236295	0.00614367
11.900	0.000223333	0	0.00614367
12.000	0.000257348	0.00354442	0.00649811
12.100	0.000265746	0.00236295	0.0067344
12.200	0.00027564	0.00354442	0.00708885
12.300	0.00027364	0	0.00708885
12.400	0.00027291	0.00118147	0.00720699
12.500	0.000283285	0.00236295	0.00744329
12.600	0.000348901	0.0094518	0.00838847
12.700	0.000367872	0.00236295	0.00862476
12.800	0.000444632	0.0094518	0.00956994
12.900	0.00045664	0.0047259	0.0100425
13.000	0.000487014	0.00590737	0.0106333
13.100	0.000549846	0.00708885	0.0113422
13.200	0.00060307	0.00708885	0.012051
13.300	0.000588904	0.00354442	0.0124055
13.400	0.000650117	0.00708885	0.0131144
13.500	0.000693294	0.00590737	0.0137051
13.600	0.000718069	0.00354442	0.0140595
